name,location__type,latitude,longitude,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Vidhya food Tandoori corner,,19°01′14″ N,72°50′17″ E,Mumbai,Maharahstra ,chicken tandoori,chicken tikka,2 star,2 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737125610/vidhyafood_qieral.webp
Tibb's Frankie,,19°01′14″ N,72°50′17″ E,Mumbai,Maharahstra ,frankie,,5 star,5 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737261598/Tibb_s_Frakie_zwcezq.webp
Samaadhan,,19°01′40″ N,72°51′50″ E,Mumbai,Maharashtra,dosa ,pani puri ,4 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737261665/samadhan_dxhhf8.webp
Shri Swami Samarth fast food,,19°01′40″ N,72°51′50″ E,Mumbai,Maharashtra,sandwich ,juices,3 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737261841/shri_swami_samarth_fastfood_yh9wee.jpg
K Town,,19°12′51″ N,72°58′43″ E,Mumbai,Maharashtra,noodles ,burger,3 star,5 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737262217/K_town_unjrws.jpg
Classic fast food corner,,19°12′40″ N,72°51′15″ E,Mumbai,Maharashtra,pav bhaji ,pulao,3 star,2 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737262390/classicfastfood_xhet53.avif
Khau Gali,,19°12′40″ N,72°51′15″ E,Mumbai,Maharashtra,vada pav,samosa,4 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737262541/khau_xinflm.jpgm.jpg
Jai Maharashtra Fast food,,19°12′40″ N,72°51′15″ E,Mumbai,Maharashtra,samosa,vada pav,2 star,2 star, 4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1737262684/jaimaharahstrafast_ftqdae.avif
Sharma Chaat Bhandar,,19°07′50″ N,72°50′10″ E,Mumbai,Maharashtra,pani puri,sev puri,3 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334042/sharmachatbhandar_lzt21a.webp
Breadkraft,,19°07′50″ N,72°50′10″ E,Mumbai,Maharashtra,nuggets,juices,2 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334129/breadkraft_rdmawu.avif
Twistix,,19°07′50″ N,72°50′10″ E,Mumbai,Maharashtra,potato sticks,burger,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334245/twistix_wvdhug.avif
Famous Malai Wala,,19°11′12″ N,72°58′43″ E,Mumbai,Maharashtra,gola,ice cream,3 star,5 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334397/famous_malai_fgtkch.avif
Mahadev ice gola,,19°11′12″ N,72°58′43″ E,Mumbai,Maharashtra,gola,ice cream,5 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334517/mahadev_ice_lzrm7d.webp
Agar kalla khata,,19°11′12″ N,72°58′43″ E,Mumbai,Maharahstra ,gola ,rabdi,2 star,5 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334617/agar_kalla_khatta_ujqkxa.webp
Sardar Paya house,,19°02′28″ N,72°52′19″ E,Mumbai,Maharashtra,butter chicken,naan,5 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738334976/sardar_paya_house_yhufth.jpg
Amrisar Kulcha and chole,,19°02′28″ N,72°52′19″ E,Mumbai,Maharashtra ,chhole,kulcha,3 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738335073/amristsar_kulcha_chole_er6cdc.webp
Manjit Chole puri wala,,19°02′28″ N,72°52′19″ E,Mumbai,Maharashtra,chole,puri,3 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738335142/Manjeet_chole_puri_rbx49x.jpg
Krishna chaat centre,,18°57′32″ N,72°49′59″ E,Mumbai ,Maharashtra,pani puri,bhel ,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738390547/krishna_chaat_centre_p3kder.jpg
Sai deep,,18°57′32″ N,72°49′59″ E,Mumbai ,Maharahstra ,noodles,manchurian,3 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738390735/sai_deep_o56o8m.avif
Mastraam,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharashtra,dosa ,pav bhaji,3 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391391/mastraam_bzsrci.jpg
Bestie toastie,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharashtra,avacado toast,juices,2 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391307/bestie_toastie_ofgyd2.jpg
Food for every mood,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharashtra,samosa,pani puri ,3 star,4 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391308/food_for_every_mood_qbzyg6.jpg
Luscious waffles,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharashtra,waffles,cake,2 star,3 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391305/luscious_waffles_dfh2rz.jpg
Mera pasta hub,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharashtra,pasta ,pizza,3 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391306/mera_pasta_hub_xbfv0q.jpg
Mexibay,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,nachos,burritos,4 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391306/mexibay_chu17m.jpg
Crime master momo,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,momos,chowmein,2 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391304/crime_master_momo_ewdrc6.jpg
Swiss waffle,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,waffles,ice cream,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391814/swiss_waffle_btp4ap.jpg
